Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2023-08-15,50.91
Afghanistan,AFG,2023-08-20,51.11
Afghanistan,AFG,2023-08-27,51.35
Afghanistan,AFG,2023-09-01,51.69
Afghanistan,AFG,2023-09-05,51.72
Afghanistan,AFG,2023-09-10,51.98
Afghanistan,AFG,2023-09-17,52.19
Afghanistan,AFG,2023-09-19,52.43
Afghanistan,AFG,2023-09-26,52.8
Afghanistan,AFG,2023-10-08,52.92
Afghanistan,AFG,2023-10-16,53.23
Afghanistan,AFG,2023-10-24,53.7
Afghanistan,AFG,2023-11-05,53.74
Afghanistan,AFG,2023-11-07,54
Afghanistan,AFG,2023-11-14,54.7
Afghanistan,AFG,2023-11-26,54.97
Africa,,2021-01-09,0
Africa,,2021-01-10,0
Africa,,2021-01-11,0
Africa,,2021-01-12,0
Africa,,2021-01-13,0
Africa,,2021-01-14,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-17,0
Africa,,2021-01-18,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-21,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.02
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-07,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.06
Africa,,2021-02-12,0.08
Africa,,2021-02-13,0.1
Africa,,2021-02-14,0.1
Africa,,2021-02-15,0.12
Africa,,2021-02-16,0.14
Africa,,2021-02-17,0.15
Africa,,2021-02-18,0.16
Africa,,2021-02-19,0.18
Africa,,2021-02-20,0.18
Africa,,2021-02-21,0.18
Africa,,2021-02-22,0.19
Africa,,2021-02-23,0.2
Africa,,2021-02-24,0.22
Africa,,2021-02-25,0.24
Africa,,2021-02-26,0.26
Africa,,2021-02-27,0.27
Africa,,2021-02-28,0.27
Africa,,2021-03-01,0.29
Africa,,2021-03-02,0.3
Africa,,2021-03-03,0.31
Africa,,2021-03-04,0.32
Africa,,2021-03-05,0.34
Africa,,2021-03-06,0.35
Africa,,2021-03-07,0.35
Africa,,2021-03-08,0.38
Africa,,2021-03-09,0.39
Africa,,2021-03-10,0.41
Africa,,2021-03-11,0.43
Africa,,2021-03-12,0.45
Africa,,2021-03-13,0.48
Africa,,2021-03-14,0.48
Africa,,2021-03-15,0.5
Africa,,2021-03-16,0.52
Africa,,2021-03-17,0.53
Africa,,2021-03-18,0.55
Africa,,2021-03-19,0.57
Africa,,2021-03-20,0.57
Africa,,2021-03-21,0.58
Africa,,2021-03-22,0.58
Africa,,2021-03-23,0.59
Africa,,2021-03-24,0.66
Africa,,2021-03-25,0.68
Africa,,2021-03-26,0.7
Africa,,2021-03-27,0.72
Africa,,2021-03-28,0.74
Africa,,2021-03-29,0.76
Africa,,2021-03-30,0.77
Africa,,2021-03-31,0.8
Africa,,2021-04-01,0.82
Africa,,2021-04-02,0.83
Africa,,2021-04-03,0.84
Africa,,2021-04-04,0.85
Africa,,2021-04-05,0.86
Africa,,2021-04-06,0.88
Africa,,2021-04-07,0.91
Africa,,2021-04-08,0.96
Africa,,2021-04-09,0.97
Africa,,2021-04-10,0.98
Africa,,2021-04-11,0.99
Africa,,2021-04-12,1
Africa,,2021-04-13,1.01
Africa,,2021-04-14,1.03
Africa,,2021-04-15,1.04
Africa,,2021-04-16,1.06
Africa,,2021-04-17,1.08
Africa,,2021-04-18,1.12
Africa,,2021-04-19,1.13
Africa,,2021-04-20,1.14
Africa,,2021-04-21,1.16
Africa,,2021-04-22,1.17
Africa,,2021-04-23,1.18
Africa,,2021-04-24,1.18
Africa,,2021-04-25,1.19
Africa,,2021-04-26,1.2
Africa,,2021-04-27,1.21
Africa,,2021-04-28,1.28
Africa,,2021-04-29,1.29
Africa,,2021-04-30,1.3
Africa,,2021-05-01,1.31
Africa,,2021-05-02,1.31
Africa,,2021-05-03,1.33
Africa,,2021-05-04,1.35
Africa,,2021-05-05,1.36
Africa,,2021-05-06,1.38
Africa,,2021-05-07,1.42
Africa,,2021-05-08,1.43
Africa,,2021-05-09,1.49
Africa,,2021-05-10,1.52
Africa,,2021-05-11,1.55
Africa,,2021-05-12,1.62
Africa,,2021-05-13,1.64
Africa,,2021-05-14,1.65
Africa,,2021-05-15,1.67
Africa,,2021-05-16,1.68
Africa,,2021-05-17,1.71
Africa,,2021-05-18,1.77
Africa,,2021-05-19,1.81
Africa,,2021-05-20,1.84
Africa,,2021-05-21,1.89
Africa,,2021-05-22,1.95
Africa,,2021-05-23,1.97
Africa,,2021-05-24,2
Africa,,2021-05-25,2.05
Africa,,2021-05-26,2.08
Africa,,2021-05-27,2.09
Africa,,2021-05-28,2.11
Africa,,2021-05-29,2.15
Africa,,2021-05-30,2.17
Africa,,2021-05-31,2.31
Africa,,2021-06-01,2.37
Africa,,2021-06-02,2.41
Africa,,2021-06-03,2.44
Africa,,2021-06-04,2.45
Africa,,2021-06-05,2.47
Africa,,2021-06-06,2.49
Africa,,2021-06-07,2.53
Africa,,2021-06-08,2.61
Africa,,2021-06-09,2.68
Africa,,2021-06-10,2.72
Africa,,2021-06-11,2.75
Africa,,2021-06-12,2.77
Africa,,2021-06-13,2.78
Africa,,2021-06-14,2.84
Africa,,2021-06-15,2.91
Africa,,2021-06-16,2.93
Africa,,2021-06-17,2.96
Africa,,2021-06-18,2.98
Africa,,2021-06-19,2.99
Africa,,2021-06-20,3.04
Africa,,2021-06-21,3.09
Africa,,2021-06-22,3.1
Africa,,2021-06-23,3.14
Africa,,2021-06-24,3.23
Africa,,2021-06-25,3.26
Africa,,2021-06-26,3.27
Africa,,2021-06-27,3.29
Africa,,2021-06-28,3.36
Africa,,2021-06-29,3.37
Africa,,2021-06-30,3.41
Africa,,2021-07-01,3.44
Africa,,2021-07-02,3.45
Africa,,2021-07-03,3.47
Africa,,2021-07-04,3.5
Africa,,2021-07-05,3.57
Africa,,2021-07-06,3.6
Africa,,2021-07-07,3.62
Africa,,2021-07-08,3.66
Africa,,2021-07-09,3.68
Africa,,2021-07-10,3.69
Africa,,2021-07-11,3.7
Africa,,2021-07-12,3.81
Africa,,2021-07-13,3.85
Africa,,2021-07-14,3.87
Africa,,2021-07-15,3.96
Africa,,2021-07-16,3.97
Africa,,2021-07-17,3.98
Africa,,2021-07-18,4
Africa,,2021-07-19,4.09
Africa,,2021-07-20,4.12
Africa,,2021-07-21,4.12
Africa,,2021-07-22,4.2
Africa,,2021-07-23,4.22
Africa,,2021-07-24,4.24
Africa,,2021-07-25,4.29
Africa,,2021-07-26,4.35
Africa,,2021-07-27,4.41
Africa,,2021-07-28,4.47
Africa,,2021-07-29,4.54
Africa,,2021-07-30,4.57
Africa,,2021-07-31,4.59
Africa,,2021-08-01,4.63
Africa,,2021-08-02,4.68
Africa,,2021-08-03,4.84
Africa,,2021-08-04,4.87
Africa,,2021-08-05,4.94
Africa,,2021-08-06,4.97
Africa,,2021-08-07,4.99
Africa,,2021-08-08,5.04
Africa,,2021-08-09,5.17
Africa,,2021-08-10,5.21
Africa,,2021-08-11,5.25
Africa,,2021-08-12,5.36
Africa,,2021-08-13,5.43
Africa,,2021-08-14,5.45
Africa,,2021-08-15,5.47
Africa,,2021-08-16,5.66
Africa,,2021-08-17,5.71
Africa,,2021-08-18,5.81
Africa,,2021-08-19,5.93
Africa,,2021-08-20,6.3
Africa,,2021-08-21,6.33
Africa,,2021-08-22,6.38
Africa,,2021-08-23,6.46
Africa,,2021-08-24,6.53
Africa,,2021-08-25,6.75
Africa,,2021-08-26,6.76
Africa,,2021-08-27,6.98
Africa,,2021-08-28,7.02
Africa,,2021-08-29,7.12
Africa,,2021-08-30,7.16
Africa,,2021-08-31,7.26
Africa,,2021-09-01,7.42
Africa,,2021-09-02,7.45
Africa,,2021-09-03,7.49
Africa,,2021-09-04,7.8
Africa,,2021-09-05,7.96
Africa,,2021-09-06,8.08
Africa,,2021-09-07,8.12
Africa,,2021-09-08,8.17
Africa,,2021-09-09,8.27
Africa,,2021-09-10,8.35
Africa,,2021-09-11,8.47
Africa,,2021-09-12,8.67
Africa,,2021-09-13,8.71
Africa,,2021-09-14,8.91
Africa,,2021-09-15,9.01
Africa,,2021-09-16,9.13
Africa,,2021-09-17,9.15
Africa,,2021-09-18,9.19
Africa,,2021-09-19,9.39
Africa,,2021-09-20,9.45
Africa,,2021-09-21,9.5
Africa,,2021-09-22,9.68
Africa,,2021-09-23,9.88
Africa,,2021-09-24,9.91
Africa,,2021-09-25,10.01
Africa,,2021-09-26,10.07
Africa,,2021-09-27,10.26
Africa,,2021-09-28,10.34
Africa,,2021-09-29,10.37
Africa,,2021-09-30,10.5
Africa,,2021-10-01,10.53
Africa,,2021-10-02,10.61
Africa,,2021-10-03,10.64
Africa,,2021-10-04,10.65
Africa,,2021-10-05,10.7
Africa,,2021-10-06,10.74
Africa,,2021-10-07,10.88
Africa,,2021-10-08,11.2
Africa,,2021-10-09,11.3
Africa,,2021-10-10,11.32
Africa,,2021-10-11,11.36
Africa,,2021-10-12,11.38
Africa,,2021-10-13,11.56
Africa,,2021-10-14,11.69
Africa,,2021-10-15,11.8
Africa,,2021-10-16,11.8
Africa,,2021-10-17,12.11
Africa,,2021-10-18,12.22
Africa,,2021-10-19,12.29
Africa,,2021-10-20,12.36
Africa,,2021-10-21,12.52
Africa,,2021-10-22,12.55
Africa,,2021-10-23,12.77
Africa,,2021-10-24,12.95
Africa,,2021-10-25,12.98
Africa,,2021-10-26,13.09
Africa,,2021-10-27,13.12
Africa,,2021-10-28,13.3
Africa,,2021-10-29,13.55
Africa,,2021-10-30,13.62
Africa,,2021-10-31,13.77
Africa,,2021-11-01,13.87
Africa,,2021-11-02,13.96
Africa,,2021-11-03,13.99
Africa,,2021-11-04,14.18
Africa,,2021-11-05,14.2
Africa,,2021-11-06,14.35
Africa,,2021-11-07,14.41
Africa,,2021-11-08,14.44
Africa,,2021-11-09,14.47
Africa,,2021-11-10,14.87
Africa,,2021-11-11,14.96
Africa,,2021-11-12,14.99
Africa,,2021-11-13,15.11
Africa,,2021-11-14,15.17
Africa,,2021-11-15,15.26
Africa,,2021-11-16,15.27
Africa,,2021-11-17,15.33
Africa,,2021-11-18,15.54
Africa,,2021-11-19,15.56
Africa,,2021-11-20,15.73
Africa,,2021-11-21,15.86
Africa,,2021-11-22,15.96
Africa,,2021-11-23,16.03
Africa,,2021-11-24,16.22
Africa,,2021-11-25,16.29
Africa,,2021-11-26,16.38
Africa,,2021-11-27,16.42
Africa,,2021-11-28,16.68
Africa,,2021-11-29,16.82
Africa,,2021-11-30,16.91
Africa,,2021-12-01,16.94
Africa,,2021-12-02,17.11
Africa,,2021-12-03,17.23
Africa,,2021-12-04,17.44
Africa,,2021-12-05,17.52
Africa,,2021-12-06,17.66
Africa,,2021-12-07,17.69
Africa,,2021-12-08,17.86
Africa,,2021-12-09,18.19
Africa,,2021-12-10,18.25
Africa,,2021-12-11,18.42
Africa,,2021-12-12,18.53
Africa,,2021-12-13,18.6
Africa,,2021-12-14,18.76
Africa,,2021-12-15,18.94
Africa,,2021-12-16,18.99
Africa,,2021-12-17,19.02
Africa,,2021-12-18,19.16
Africa,,2021-12-19,19.21
Africa,,2021-12-20,19.59
Africa,,2021-12-21,19.63
Africa,,2021-12-22,19.74
Africa,,2021-12-23,20.06
Africa,,2021-12-24,20.23
Africa,,2021-12-25,20.25
Africa,,2021-12-26,20.36
Africa,,2021-12-27,20.44
Africa,,2021-12-28,20.92
Africa,,2021-12-29,20.95
Africa,,2021-12-30,21.04
Africa,,2021-12-31,21.27
Africa,,2022-01-01,21.32
Africa,,2022-01-02,21.35
Africa,,2022-01-03,21.38
Africa,,2022-01-04,21.76
Africa,,2022-01-05,21.8
Africa,,2022-01-06,22.08
Africa,,2022-01-07,22.12
Africa,,2022-01-08,22.25
Africa,,2022-01-09,22.39
Africa,,2022-01-10,22.62
Africa,,2022-01-11,22.64
Africa,,2022-01-12,22.71
Africa,,2022-01-13,22.82
Africa,,2022-01-14,22.9
Africa,,2022-01-15,23.08
Africa,,2022-01-16,23.15
Africa,,2022-01-17,23.33
Africa,,2022-01-18,23.46
Africa,,2022-01-19,23.61
Africa,,2022-01-20,23.63
Africa,,2022-01-21,24.05
Africa,,2022-01-22,24.13
Africa,,2022-01-23,24.27
Africa,,2022-01-24,24.37
Africa,,2022-01-25,24.39
Africa,,2022-01-26,24.45
Africa,,2022-01-27,24.52
Africa,,2022-01-28,24.58
Africa,,2022-01-29,24.66
Africa,,2022-01-30,24.79
Africa,,2022-01-31,24.84
Africa,,2022-02-01,24.87
Africa,,2022-02-02,25.03
Africa,,2022-02-03,25.05
Africa,,2022-02-04,25.1
Africa,,2022-02-05,25.13
Africa,,2022-02-06,25.33
Africa,,2022-02-07,25.5
Africa,,2022-02-08,25.55
Africa,,2022-02-09,25.68
Africa,,2022-02-10,25.84
Africa,,2022-02-11,25.94
Africa,,2022-02-12,25.97
Africa,,2022-02-13,26.02
Africa,,2022-02-14,26.04
Africa,,2022-02-15,26.16
Africa,,2022-02-16,26.29
Africa,,2022-02-17,26.38
Africa,,2022-02-18,26.51
Africa,,2022-02-19,26.81
Africa,,2022-02-20,27.09
Africa,,2022-02-21,27.65
Africa,,2022-02-22,27.85
Africa,,2022-02-23,27.95
Africa,,2022-02-24,28.27
Africa,,2022-02-25,28.36
Africa,,2022-02-26,28.55
Africa,,2022-02-27,28.71
Africa,,2022-02-28,28.78
Africa,,2022-03-01,28.86
Africa,,2022-03-02,28.94
Africa,,2022-03-03,28.96
Africa,,2022-03-04,29.05
Africa,,2022-03-05,29.11
Africa,,2022-03-06,29.21
Africa,,2022-03-07,29.25
Africa,,2022-03-08,29.35
Africa,,2022-03-09,29.47
Africa,,2022-03-10,29.49
Africa,,2022-03-11,29.56
Africa,,2022-03-12,29.56
Africa,,2022-03-13,29.67
Africa,,2022-03-14,29.7
Africa,,2022-03-15,30
Africa,,2022-03-16,30.03
Africa,,2022-03-17,30.11
Africa,,2022-03-18,30.19
Africa,,2022-03-19,30.2
Africa,,2022-03-20,30.33
Africa,,2022-03-21,30.36
Africa,,2022-03-22,30.37
Africa,,2022-03-23,30.4
Africa,,2022-03-24,30.42
Africa,,2022-03-25,30.48
Africa,,2022-03-26,30.5
Africa,,2022-03-27,30.73
Africa,,2022-03-28,30.74
Africa,,2022-03-29,30.91
Africa,,2022-03-30,30.93
Africa,,2022-03-31,31.06
Africa,,2022-04-01,31.07
Africa,,2022-04-02,31.08
Africa,,2022-04-03,31.09
Africa,,2022-04-04,31.13
Africa,,2022-04-05,31.14
Africa,,2022-04-06,31.16
Africa,,2022-04-07,31.37
Africa,,2022-04-08,31.39
Africa,,2022-04-09,31.44
Africa,,2022-04-10,31.7
Africa,,2022-04-11,31.7
Africa,,2022-04-12,31.86
Africa,,2022-04-13,31.87
Africa,,2022-04-14,31.88
Africa,,2022-04-15,31.88
Africa,,2022-04-16,31.89
Africa,,2022-04-17,31.89
Africa,,2022-04-18,31.89
Africa,,2022-04-19,31.9
Africa,,2022-04-20,31.9
Africa,,2022-04-21,31.91
Africa,,2022-04-22,31.91
Africa,,2022-04-23,32.01
Africa,,2022-04-24,32.01
Africa,,2022-04-25,32.02
Africa,,2022-04-26,32.59
Africa,,2022-04-27,32.6
Africa,,2022-04-28,32.6
Africa,,2022-04-29,32.61
Africa,,2022-04-30,32.66
Africa,,2022-05-01,33.13
Africa,,2022-05-02,33.13
Africa,,2022-05-03,33.13
Africa,,2022-05-04,33.15
Africa,,2022-05-05,33.16
Africa,,2022-05-06,33.17
Africa,,2022-05-07,33.18
Africa,,2022-05-08,33.44
Africa,,2022-05-09,33.44
Africa,,2022-05-10,33.46
Africa,,2022-05-11,33.47
Africa,,2022-05-12,33.49
Africa,,2022-05-13,33.5
Africa,,2022-05-14,33.54
Africa,,2022-05-15,33.7
Africa,,2022-05-16,33.72
Africa,,2022-05-17,33.72
Africa,,2022-05-18,33.73
Africa,,2022-05-19,33.74
Africa,,2022-05-20,33.77
Africa,,2022-05-21,33.78
Africa,,2022-05-22,34.63
Africa,,2022-05-23,34.64
Africa,,2022-05-24,34.64
Africa,,2022-05-25,34.65
Africa,,2022-05-26,34.67
Africa,,2022-05-27,34.69
Africa,,2022-05-28,34.69
Africa,,2022-05-29,34.82
Africa,,2022-05-30,35.06
Africa,,2022-05-31,35.07
Africa,,2022-06-01,35.08
Africa,,2022-06-02,35.11
Africa,,2022-06-03,35.13
Africa,,2022-06-04,35.14
Africa,,2022-06-05,35.53
Africa,,2022-06-06,35.54
Africa,,2022-06-07,35.55
Africa,,2022-06-08,35.56
Africa,,2022-06-09,35.56
Africa,,2022-06-10,35.57
Africa,,2022-06-11,35.57
Africa,,2022-06-12,35.57
Africa,,2022-06-13,35.59
Africa,,2022-06-14,35.73
Africa,,2022-06-15,35.73
Africa,,2022-06-16,35.74
Africa,,2022-06-17,35.77
Africa,,2022-06-18,35.77
Africa,,2022-06-19,36.31
Africa,,2022-06-20,36.39
Africa,,2022-06-21,36.39
Africa,,2022-06-22,36.41
Africa,,2022-06-23,36.42
Africa,,2022-06-24,36.42
Africa,,2022-06-25,36.42
Africa,,2022-06-26,38.04
Africa,,2022-06-27,38.13
Africa,,2022-06-28,38.14
Africa,,2022-06-29,38.23
Africa,,2022-06-30,38.23
Africa,,2022-07-01,38.24
Africa,,2022-07-02,38.24
Africa,,2022-07-03,38.71
Africa,,2022-07-04,38.72
Africa,,2022-07-05,38.77
Africa,,2022-07-06,38.78
Africa,,2022-07-07,38.79
Africa,,2022-07-08,38.79
Africa,,2022-07-09,38.8
Africa,,2022-07-10,39.51
Africa,,2022-07-11,39.51
Africa,,2022-07-12,39.51
Africa,,2022-07-13,39.52
Africa,,2022-07-14,39.52
Africa,,2022-07-15,39.52
Africa,,2022-07-16,39.58
Africa,,2022-07-17,40.25
Africa,,2022-07-18,40.26
Africa,,2022-07-19,40.36
Africa,,2022-07-20,40.36
Africa,,2022-07-21,40.36
Africa,,2022-07-22,40.37
Africa,,2022-07-23,40.37
Africa,,2022-07-24,40.75
Africa,,2022-07-25,40.76
Africa,,2022-07-26,40.76
Africa,,2022-07-27,40.86
Africa,,2022-07-28,40.86
Africa,,2022-07-29,40.86
Africa,,2022-07-30,40.86
Africa,,2022-07-31,40.88
Africa,,2022-08-01,40.9
Africa,,2022-08-02,40.91
Africa,,2022-08-03,40.91
Africa,,2022-08-04,40.91
Africa,,2022-08-05,40.91
Africa,,2022-08-06,40.91
Africa,,2022-08-07,41.58
Africa,,2022-08-08,41.58
Africa,,2022-08-09,41.58
Africa,,2022-08-10,41.58
Africa,,2022-08-11,41.59
Africa,,2022-08-12,41.63
Africa,,2022-08-13,41.63
Africa,,2022-08-14,42.16
Africa,,2022-08-15,42.21
Africa,,2022-08-16,42.21
Africa,,2022-08-17,42.22
Africa,,2022-08-18,42.22
Africa,,2022-08-19,42.22
Africa,,2022-08-20,42.22
Africa,,2022-08-21,42.88
Africa,,2022-08-22,42.89
Africa,,2022-08-23,42.89
Africa,,2022-08-24,42.89
Africa,,2022-08-25,42.89
Africa,,2022-08-26,42.89
Africa,,2022-08-27,42.89
Africa,,2022-08-28,43.13
Africa,,2022-08-29,43.14
Africa,,2022-08-30,43.18
Africa,,2022-08-31,43.18
Africa,,2022-09-01,43.18
Africa,,2022-09-02,43.18
Africa,,2022-09-03,43.18
Africa,,2022-09-04,43.72
Africa,,2022-09-05,43.72
Africa,,2022-09-06,43.72
Africa,,2022-09-07,43.72
Africa,,2022-09-08,43.72
Africa,,2022-09-09,43.73
Africa,,2022-09-10,43.73
Africa,,2022-09-11,43.82
Africa,,2022-09-12,43.84
Africa,,2022-09-13,43.86
Africa,,2022-09-14,43.86
Africa,,2022-09-15,43.86
Africa,,2022-09-16,43.86
Africa,,2022-09-17,43.86
Africa,,2022-09-18,44.33
Africa,,2022-09-19,44.34
Africa,,2022-09-20,44.34
Africa,,2022-09-21,44.34
Africa,,2022-09-22,44.34
Africa,,2022-09-23,44.34
Africa,,2022-09-24,44.34
Africa,,2022-09-25,44.71
Africa,,2022-09-26,44.72
Africa,,2022-09-27,44.73
Africa,,2022-09-28,44.75
Africa,,2022-09-29,44.78
Africa,,2022-09-30,44.78
Africa,,2022-10-01,44.78
Africa,,2022-10-02,44.98
Africa,,2022-10-03,44.99
Africa,,2022-10-04,44.99
Africa,,2022-10-05,44.99
Africa,,2022-10-06,44.99
Africa,,2022-10-07,44.99
Africa,,2022-10-08,44.99
Africa,,2022-10-09,45.78
Africa,,2022-10-10,45.78
Africa,,2022-10-11,45.85
Africa,,2022-10-12,45.85
Africa,,2022-10-13,45.85
Africa,,2022-10-14,45.92
Africa,,2022-10-15,45.92
Africa,,2022-10-16,46.17
Africa,,2022-10-17,46.24
Africa,,2022-10-18,46.24
Africa,,2022-10-19,46.24
Africa,,2022-10-20,46.29
Africa,,2022-10-21,46.29
Africa,,2022-10-22,46.29
Africa,,2022-10-23,46.68
Africa,,2022-10-24,46.68
Africa,,2022-10-25,46.71
Africa,,2022-10-26,46.71
Africa,,2022-10-27,46.72
Africa,,2022-10-28,46.72
Africa,,2022-10-29,46.72
Africa,,2022-10-30,47.45
Africa,,2022-10-31,47.45
Africa,,2022-11-01,47.45
Africa,,2022-11-02,47.46
Africa,,2022-11-03,47.47
Africa,,2022-11-04,47.47
Africa,,2022-11-05,47.47
Africa,,2022-11-06,47.7
Africa,,2022-11-07,47.7
Africa,,2022-11-08,47.7
